Activity;Subactivity;Method;Need quick results;Very restricted budget;Usability important;Uncertain specification;Difficult to involve users;No access to users;Some users have disabilities;Mostly first time users;Complex task;Many tasks;Safety or business critical system;Organisational changes needed;Efficiency or accuracy is important;Adaptation of an existing system;A well understood product;Customisable product;General purpose: used in many different contexts;No usability expertise available;
Concept;Envisioning opportunities;Future workshop;2;2;4;5;2;1;3;5;4;4;3;5;3;3;2;3;2;2;3;3;3;3;
Concept;Envisioning opportunities;Preliminary field visit;4;4;5;5;2;1;4;3;5;5;5;5;5;4;1;3;3;3;3;3;3;3;
Concept;Envisioning opportunities;Focus groups;3;2;5;5;2;1;3;5;4;4;3;5;2;3;3;4;4;4;3;3;4;3;
Concept;Envisioning opportunities;Photo study;4;4;5;5;2;1;4;3;4;4;3;3;3;3;2;3;4;2;3;3;4;1;
Concept;Envisioning opportunities;Simulations of future working environments;2;2;5;5;2;1;3;3;5;4;5;5;5;3;2;3;3;3;3;3;3;3;
Concept;Envisioning opportunities;Braindrawing;5;5;5;5;3;3;3;3;4;4;4;4;3;4;2;3;4;2;3;3;3;3;
Concept;Envisioning opportunities;Brainstorming;5;5;5;5;3;3;3;3;4;4;4;4;3;3;2;3;5;3;3;3;3;3;
Concept;Envisioning opportunities;In-depth analysis of work and lifestyles;1;1;5;5;1;1;2;3;5;4;5;5;5;2;2;3;2;2;3;3;3;3;
Concept;System scoping;Participatory workshops;4;3;5;5;2;1;4;4;4;4;5;5;4;3;3;4;4;2;3;3;1;3;
Concept;System scoping;Field observations and ethnography;1;1;5;5;2;1;4;3;5;5;5;5;5;5;1;4;2;3;3;3;3;3;
Concept;System scoping;Consult stakeholders;4;4;5;5;5;5;5;4;5;5;5;5;5;5;3;4;4;5;3;3;3;3;
Concept;System scoping;Human factors analysis;2;2;5;3;4;4;3;3;4;4;5;3;4;3;2;3;4;1;3;3;1;3;
Concept;System scoping;Context of use analysis;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;5;2;3;3;3;3;
Planning;Planning;Plan to achieve and maintain usability;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;3;3;2;3;3;3;4;
Understanding needs;Context of use;Success critical stakeholder identification;5;5;5;3;5;5;3;3;3;3;5;5;4;3;3;3;3;3;3;3;3;4;
Understanding needs;Context of use;Field observations and ethnography;1;1;5;5;2;1;4;3;5;5;5;5;5;5;1;4;3;2;3;3;3;3;
Understanding needs;Context of use;Participatory workshops;2;2;5;5;2;1;4;4;4;4;5;5;4;3;3;4;3;2;3;3;1;4;
Understanding needs;Context of use;Work context analysis;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;2;5;3;3;1;4;
Understanding needs;Context of use;Context of use analysis;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;5;3;3;3;3;3;
Understanding needs;Context of use;Event data analysis;1;4;4;3;5;5;2;3;3;3;4;3;4;4;2;3;3;3;3;3;3;4;
Understanding needs;Context of use;Contextual enquiry;1;1;5;5;2;1;3;4;4;4;4;4;4;3;2;3;4;2;3;3;3;4;
Understanding needs;Context of use;Cultural probe - Diary study;1;2;4;3;2;1;3;1;4;4;5;3;3;4;1;3;3;2;3;3;3;4;
Understanding needs;Tasks;Task analysis;2;2;5;5;5;5;3;3;4;4;5;3;5;3;2;3;2;3;3;3;2;4;
Understanding needs;Tasks;Work context analysis;3;5;5;5;3;3;3;3;5;5;5;5;3;3;2;3;5;2;3;3;1;3;
Understanding needs;Usability needs;Investigate required system usability;2;2;5;5;3;3;4;4;4;4;5;5;5;5;3;3;3;3;3;3;3;3;
Understanding needs;Usability needs;Usability benchmarking;2;2;5;3;2;1;3;3;3;3;5;3;5;3;4;3;3;2;3;3;3;3;
Understanding needs;Usability needs;Competitor analysis;3;2;5;5;3;3;3;3;4;4;5;3;4;3;3;3;3;3;3;3;3;3;
Understanding needs;Usability needs;Heuristic/expert evaluation;4;4;5;5;5;5;3;5;5;5;4;3;3;3;3;3;4;2;3;3;3;3;
Understanding needs;Design options;Early prototyping and usability evaluation;5;5;5;5;2;1;3;4;5;5;5;4;5;4;2;4;3;3;3;3;3;3;
